,period_open,period_close,long_exposure,pnl,capital_used,short_exposure,orders,transactions,positions,gross_leverage,starting_exposure,net_leverage,returns,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,ASSETME,CORR,algo_volatility,benchmark_period_return,benchmark_volatility,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2017-07-27 20:00:00+00:00,2017-07-27 13:31:00+00:00,2017-07-27 20:00:00+00:00,668920.0,-18780.0,0.0,0.0,"[{'id': '335440a6489445fdbbd12afaf7473230', 'dt': Timestamp('2017-07-27 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-07-27 20:00:00+0000', tz='UTC'), 'amount': -2000, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],"[{'sid': Equity(2862 [TSLA]), 'amount': 2000, 'cost_basis': 326.40412, 'last_sale_price': 334.46}]",0.06637345584958564,687700.0,0.06637345584958564,-0.0018599758611382855,668920.0,687700.0,668920.0,9409205.229999999,9409205.229999999,10078125.229999999,1,0,668920.0,0.0,334.46,-0.9644620519702217,0.014359032476072139,0.0,0.0,0.007812523000000349,,,0.9622356353024892,1.399953284889816,-0.00803666029632299,0.08676808935876959,0.0,0.0,143,2017-07
2017-07-28 20:00:00+00:00,2017-07-28 13:31:00+00:00,2017-07-28 20:00:00+00:00,0.0,882.929999999702,669802.93,0.0,"[{'id': '335440a6489445fdbbd12afaf7473230', 'dt': Timestamp('2017-07-28 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-07-27 20:00:00+0000', tz='UTC'), 'amount': -2000, 'filled': -2000, 'commission': 2.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -2000, 'dt': Timestamp('2017-07-28 20:00:00+0000', tz='UTC'), 'price': 334.902465, 'order_id': '335440a6489445fdbbd12afaf7473230', 'sid': Equity(2862 [TSLA]), 'commission': None}]",[],0.0,668920.0,0.0,8.760855614009522e-05,0.0,668920.0,0.0,9409205.229999999,10079008.159999998,10079008.159999998,0,0,0.0,0.0,335.07,-0.0034149844367603044,0.014308803696311406,0.0,0.0,0.007900816000000255,,,0.9696224921368408,1.41067238180907,-0.00803666029632299,0.08676808935876959,0.0,0.0,144,2017-07
2017-07-31 20:00:00+00:00,2017-07-31 13:31:00+00:00,2017-07-31 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,323.47,0.40664563229617023,0.014259218516354508,0.0,0.0,0.007900816000000255,,,0.9662839638833912,1.4057995783650301,-0.00803666029632299,0.08676808935876959,0.0,0.0,145,2017-07
2017-08-01 20:00:00+00:00,2017-08-01 13:31:00+00:00,2017-08-01 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,319.57,0.6602457922328346,0.014210145289063577,0.0,0.0,0.007900816000000255,,,0.9629796837116696,1.4009769240886976,-0.00803666029632299,0.08676808935876959,0.0,0.0,146,2017-08
2017-08-02 20:00:00+00:00,2017-08-02 13:31:00+00:00,2017-08-02 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,325.89,-0.10967542859426416,0.014161575264903293,0.0,0.0,0.007900816000000255,,,0.9597090700621616,1.3962035646442923,-0.00803666029632299,0.08676808935876959,0.0,0.0,147,2017-08
2017-08-03 20:00:00+00:00,2017-08-03 13:31:00+00:00,2017-08-03 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,347.09000000000003,0.6379223675626504,0.014113499902268211,0.0,0.0,0.007900816000000255,,,0.9564715551071746,1.3914786659342848,-0.00803666029632299,0.08676808935876959,0.0,0.0,148,2017-08
2017-08-04 20:00:00+00:00,2017-08-04 13:31:00+00:00,2017-08-04 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,356.91,0.8721052268834881,0.0140659108611723,0.0,0.0,0.007900816000000255,,,0.9532665843367683,1.3868014134871363,-0.00803666029632299,0.08676808935876959,0.0,0.0,149,2017-08
2017-08-07 20:00:00+00:00,2017-08-07 13:31:00+00:00,2017-08-07 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,355.17,0.8862182054339629,0.014018799997170877,0.0,0.0,0.007900816000000255,,,0.9500936161598471,1.3821710118675328,-0.00803666029632299,0.08676808935876959,0.0,0.0,150,2017-08
2017-08-08 20:00:00+00:00,2017-08-08 13:31:00+00:00,2017-08-08 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,365.22,0.19288209043507998,0.01397215935550528,0.0,0.0,0.007900816000000255,,,0.9469521215197455,1.3775866841081323,-0.00803666029632299,0.08676808935876959,0.0,0.0,151,2017-08
2017-08-09 20:00:00+00:00,2017-08-09 13:31:00+00:00,2017-08-09 20:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079008.159999998,10079008.159999998,10079008.159999998,0,0,0.0,0.0,363.52500000000003,0.20133562851689216,0.013925981165460117,0.0,0.0,0.007900816000000255,,,0.9438415835237176,1.3730476711619102,-0.00803666029632299,0.08676808935876959,0.0,0.0,152,2017-08
